freq_Hz,measured_mag,measured_phase_rad,fit_mag
100,0.69426,-0.02078,0.671322768688678
300,0.661782,-0.100151,0.667243224357459
500,0.655827,-0.202115,0.659287276609244
700,0.64706,-0.270473,0.647833584240967
900,0.633881,-0.332663,0.633388159451715
1100,0.603177,-0.380138,0.616526966420934
1300,0.579397,-0.474022,0.597840722810006
1500,0.567797,-0.531766,0.577890202868347
1700,0.551879,-0.565756,0.557175881621811
1900,0.520793,-0.594671,0.536121815334118
2100,0.491003,-0.63709,0.515071180276611
2300,0.464747,-0.691953,0.494289952666381
2500,0.447638,-0.744347,0.473975366443209
2700,0.435986,-0.778813,0.454266489981795
2900,0.420716,-0.799441,0.435255101542041
3100,0.399614,-0.819254,0.416995782419415
3300,0.379672,-0.842081,0.399514699006007
3500,0.363353,-0.874074,0.382816909545755
3700,0.351083,-0.895703,0.366892245053855
3900,0.336492,-0.90882,0.351719921344103
4100,0.321516,-0.924973,0.337272079127481
4300,0.307162,-0.945405,0.323516450412835
4500,0.295314,-0.959619,0.310418331113007
4700,0.282048,-0.972744,0.297942013584834
4900,0.269785,-0.985656,0.286051805423634
5100,0.258953,-1.001778,0.274712735527667
5300,0.252222,-1.013283,0.263891026628619
5500,0.242881,-1.003818,0.253554395453667
5700,0.230111,-1.009551,0.243672227204549
5900,0.220032,-1.028543,0.234215659642237
6100,0.212203,-1.045385,0.225157603227116
6300,0.206552,-1.051816,0.216472716985663
6500,0.198616,-1.052582,0.208137354620442
6700,0.190626,-1.056418,0.200129491488747
6900,0.184425,-1.071424,0.192428640154417
7100,0.179383,-1.068554,0.185015760036779
7300,0.171959,-1.059423,0.17787316506087
7500,0.163332,-1.063168,0.170984432016148
7700,0.157083,-1.079659,0.164334311451436
7900,0.152221,-1.08736,0.157908642291803
8100,0.146263,-1.092065,0.15169427089821
8300,0.141948,-1.092662,0.145678974957428
8500,0.137178,-1.083731,0.139851392353893
8700,0.131244,-1.076265,0.134200955011204
8900,0.123979,-1.085939,0.128717827579804
9100,0.118857,-1.087641,0.123392850774743
9300,0.114183,-1.094541,0.118217489122675
