freq_Hz,measured_mag,measured_phase_rad,fit_mag
100,0.031019,2.563108,0.0104338325972152
300,0.02759,1.640882,0.0312951560618039
500,0.05789,1.486953,0.052137458148033
700,0.078396,1.499792,0.0729480707014581
900,0.099635,1.494784,0.0937143449253551
1100,0.112725,1.552816,0.114423659542325
1300,0.130148,1.459921,0.135063429366193
1500,0.153928,1.39672,0.155621114389789
1700,0.178151,1.452247,0.176084229485623
1900,0.199071,1.403561,0.196440354806203
2100,0.218254,1.471566,0.216677146958875
2300,0.234192,1.387901,0.23678235101673
2500,0.249494,1.434472,0.256743813412496
2700,0.26981,1.323,0.27654949574659
2900,0.294243,1.297962,0.296187489523822
3100,0.318519,1.28973,0.315646031815887
3300,0.339059,1.285421,0.334913521828915
3500,0.357029,1.385697,0.353978538337321
3700,0.374505,1.37178,0.37282985792715
3900,0.393089,1.358332,0.391456473974463
4100,0.413411,1.217077,0.409847616267164
4300,0.431225,1.202428,0.427992771162476
4500,0.449027,1.185662,0.445881702157189
4700,0.466959,1.165776,0.463504470734111
4900,0.487482,1.301356,0.480851457336175
5100,0.508319,1.298574,0.497913382309482
5300,0.523389,1.298945,0.514681326648548
5500,0.535387,1.11833,0.531146752371219
5700,0.546415,1.093831,0.547301522347313
5900,0.563579,1.071004,0.563137919404129
6100,0.583142,1.056158,0.578648664533576
6300,0.598552,1.049597,0.593826934029818
6500,0.606703,1.039455,0.608666375392969
6700,0.616683,1.019093,0.623161121843409
6900,0.632161,0.997675,0.637305805302606
7100,0.6458,1.20605,0.651095567709733
7300,0.661281,0.976438,0.664526070558604
7500,0.672441,0.96318,0.67759350255638
7700,0.68225,0.950266,0.690294585323684
7900,0.691946,0.933804,0.70262657707501
8100,0.704963,0.918012,0.71458727423827
8300,0.714659,1.166251,0.726175010992655
8500,0.72716,1.155993,0.737388656724335
8700,0.74028,0.878073,0.748227611419638
8900,0.749492,1.146506,0.758691799034834
9100,0.755217,0.851839,0.768781658900278
9300,0.766583,0.840134,0.778498135234122
9500,0.776957,0.822484,0.787842664856924
9700,0.79114,1.116638,0.796817163212954
9900,0.793081,0.797837,0.805424008816809
10100,0.802731,0.784185,0.813666026254806
10300,0.814882,0.769608,0.821546467879628
10500,0.826539,1.09677,0.82906899434362
10700,0.827483,0.747403,0.836237654121146
10900,0.835546,0.73559,0.84305686217341
11100,0.844053,1.078885,0.849531377910258
11300,0.848782,0.713391,0.855666282602826
11500,0.856098,1.063646,0.861466956398478
11700,0.858079,0.695798,0.866939055085611
11900,0.862614,0.68423,0.872088486750582
12100,0.86783,0.672698,0.876921388462488
12300,0.873338,1.048189,0.881444103113986
12500,0.879665,1.044653,0.88566315653789
12700,0.881225,0.641864,0.889585235010173
12900,0.884218,0.631976,0.893217163240386
13100,0.890189,0.622757,0.896565882940505
13300,0.890494,0.613704,0.899638432053067
13500,0.895906,0.600466,0.902441924709259
13700,0.899509,0.595731,0.904983531977471
13900,0.899541,0.584441,0.907270463452943
14100,0.904597,0.574381,0.909309949729532
14300,0.901438,1.018911,0.911109225785393
14500,0.907656,0.558681,0.912675515305677
14700,0.910569,1.014957,0.914016015957131
14900,0.909075,0.540555,0.91513788562184
15100,0.909351,0.53335,0.916048229590377
15300,0.908601,1.009177,0.916754088708198
15500,0.912849,0.518272,0.917262428463363
15700,0.911805,0.510623,0.917580128998576
15900,0.910016,0.504441,0.91771397602597
16100,0.910348,0.496332,0.917670652619244
16300,0.910989,1.002328,0.917456731854382
16500,0.910896,0.482797,0.917078670267465
16700,0.910583,1.002057,0.916542802095844
16900,0.90856,1.002075,0.9158553342672
17100,0.908446,0.462527,0.915022342099724
17300,0.907077,0.456289,0.914049765675768
17500,0.907658,0.451145,0.912943406850843
17700,0.905133,0.446103,0.911708926859641
17900,0.906502,1.003374,0.910351844480943
18100,0.904201,0.431807,0.908877534723646
18300,0.902732,1.000426,0.907291227996795
18500,0.899202,0.423027,0.905598009727362
18700,0.898047,1.003608,0.903802820390476
18900,0.895753,0.412645,0.901910455918
19100,0.894241,0.407428,0.899925568452567
19300,0.894689,0.403386,0.897852667415571
19500,0.889429,1.012312,0.895696120858984
