freq_Hz,measured_mag,measured_phase_rad,fit_mag
100,0.929392,-0.025456,0.897412511132121
300,0.916178,-0.021884,0.896975213707606
500,0.914397,-0.044101,0.896100904127197
700,0.914412,-0.060073,0.894790153932712
900,0.913021,-0.046297,0.893043822931971
1100,0.909216,-0.052939,0.890863062147308
1300,0.901682,-0.108711,0.888249317671303
1500,0.901916,-0.128541,0.885204335365735
1700,0.9021,-0.142502,0.881730166324747
1900,0.895899,-0.094175,0.877829173008921
2100,0.889458,-0.102714,0.873504035943459
2300,0.879939,-0.184782,0.868757760861175
2500,0.873387,-0.206819,0.863593686159602
2700,0.870585,-0.225225,0.858015490531418
2900,0.866792,-0.238501,0.852027200618715
3100,0.85884,-0.152708,0.845633198534524
3300,0.84953,-0.162448,0.838838229089583
3500,0.84056,-0.281658,0.831647406558834
3700,0.831891,-0.300572,0.824066220820481
3900,0.824442,-0.314993,0.816100542700968
4100,0.814947,-0.200843,0.807756628361802
4300,0.803662,-0.34522,0.799041122569011
4500,0.795053,-0.362434,0.789961060693033
4700,0.785033,-0.374241,0.780523869296121
4900,0.772833,-0.235445,0.770737365175808
5100,0.760328,-0.406283,0.760609752746512
5300,0.750775,-0.256333,0.750149619656925
5500,0.741379,-0.265156,0.739365930558209
5700,0.731124,-0.447286,0.72826801895701
5900,0.71562,-0.461047,0.716865577107751
6100,0.701804,-0.480749,0.705168643920171
6300,0.692765,-0.300214,0.69318759088047
6500,0.682813,-0.510112,0.680933106007274
6700,0.668647,-0.519719,0.668416175886694
6900,0.652928,-0.535144,0.655648065853526
7100,0.641072,-0.330389,0.642640298407934
7300,0.629012,-0.566935,0.629404629978253
7500,0.614221,-0.576194,0.615953026160594
7700,0.599181,-0.590178,0.602297635584334
7900,0.585713,-0.607667,0.588450762569099
8100,0.571827,-0.364725,0.574424838753141
8300,0.557442,-0.632722,0.560232393884929
8500,0.543635,-0.645817,0.545886025979057
8700,0.529628,-0.655009,0.531398371044187
8900,0.512597,-0.388611,0.516782072594509
9100,0.49711,-0.395277,0.502049751157211
9300,0.483904,-0.695248,0.487213973986601
9500,0.468786,-0.703102,0.472287225191088
9700,0.453046,-0.413436,0.457281876472134
9900,0.438532,-0.733689,0.4422101586649
10100,0.425691,-0.421087,0.427084134258745
10300,0.40888,-0.744676,0.411915671062252
10500,0.391961,-0.765503,0.396716417162436
10700,0.379166,-0.771452,0.381497777311345
10900,0.362348,-0.782775,0.366270890855935
11100,0.349642,-0.794345,0.351046611308977
11300,0.334062,-0.794742,0.335835487640318
11500,0.31684,-0.80852,0.320647747349257
11700,0.301552,-0.449773,0.305493281360454
11900,0.285443,-0.822489,0.290381630767891
12100,0.270162,-0.828098,0.275321975434189
12300,0.254683,-0.441839,0.260323124436302
12500,0.237775,-0.83426,0.245393508333331
12700,0.222704,-0.84128,0.230541173218214
12900,0.209828,-0.445018,0.215773776502318
13100,0.197257,-0.84996,0.20109858437067
13300,0.182719,-0.4305,0.186522470835718
13500,0.167227,-0.428994,0.172051918309122
13700,0.1544,-0.854241,0.157693019604171
13900,0.14145,-0.425179,0.143451481275925
14100,0.128881,-0.85054,0.129332628202099
14300,0.114464,-0.385673,0.115341409304892
14500,0.100452,-0.832741,0.101482404312441
14700,0.088574,-0.813776,0.0877598314581278
14900,0.076146,-0.797079,0.0741775560166205
15100,0.065123,-0.273208,0.0607390995770512
15300,0.053257,-0.665342,0.0474476499561223
15500,0.039772,-0.568661,0.0343060716569999
15700,0.028645,-0.414416,0.0213169167835448
15900,0.020508,-0.058055,0.00848243632360172
16100,0.018082,0.623395,0.00419540828035028
16300,0.023363,1.182285,0.0167149333500082
16500,0.034482,1.426549,0.029074721051245
16700,0.045889,1.61399,0.0412736074017984
16900,0.055162,1.722755,0.0533106702678589
17100,0.064709,2.289783,0.065185217405476
17300,0.07597,2.316934,0.0768967745974784
17500,0.08873,1.81145,0.0884450739314712
17700,0.0985,1.8392,0.0998300422595098
17900,0.107836,2.417905,0.111051789875255
18100,0.118808,1.845125,0.122110599439831
18300,0.130621,1.858987,0.133006915183269
18500,0.139491,1.882808,0.143741332404309
18700,0.14832,1.875711,0.154314587287502
18900,0.159108,2.465701,0.164727547052973
19100,0.170405,1.870432,0.174981200450891
19300,0.180157,1.884864,0.185076648609677
19500,0.187675,1.892109,0.195015096244166
19700,0.197229,1.878847,0.204797843227439
19900,0.208346,2.503059,0.214426276527769
20100,0.217773,2.516532,0.223901862510073
20300,0.2247,2.52743,0.233226139599465
20500,0.234186,2.523717,0.242400711302897
20700,0.244449,2.524796,0.251427239583492
20900,0.253115,1.880406,0.260307438580971
21100,0.262239,1.879029,0.26904306867052
21300,0.270017,1.869789,0.277635930851615
21500,0.279878,1.8603,0.286087861457561
21700,0.290736,2.548435,0.29440072717596
21900,0.297355,2.551886,0.302576420369834
22100,0.305296,1.857638,0.310616854688788
22300,0.314978,1.850075,0.318523960959379
22500,0.32424,2.563224,0.326299683343652
22700,0.329831,1.856249,0.333945975754781
22900,0.338175,1.850468,0.34146479851872
23100,0.345311,1.84626,0.348858115270823
23300,0.354497,2.584715,0.356127890076532
23500,0.358492,1.847431,0.363276084765355
23700,0.367004,1.844791,0.370304656467587
23900,0.376155,2.593665,0.377215555343435
24100,0.380712,1.848692,0.384010722494484
24300,0.386014,2.607131,0.39069208804771
24500,0.393712,1.839268,0.397261569402564
24700,0.401816,1.84112,0.40372106963194
24900,0.406372,1.843523,0.410072476028199
25100,0.411304,1.840163,0.416317658785721
25300,0.417685,1.837566,0.422458469811803
25500,0.423787,1.834906,0.428496741658088
25700,0.429118,1.835262,0.434434286564978
25900,0.435821,2.649141,0.440272895611912
26100,0.440479,1.836807,0.44601433796663
26300,0.446194,1.836803,0.451660360226929
26500,0.452854,1.837827,0.457212685848722
26700,0.458986,2.672299,0.462673014654494
26900,0.463087,1.834887,0.468043022416602
27100,0.46898,1.837396,0.473324360510107
27300,0.473884,1.837396,0.478518655630152
27500,0.479673,1.838586,0.483627509569141
27700,0.484345,1.834269,0.488652499049272
27900,0.489484,1.83744,0.493595175606195
28100,0.493647,2.71856,0.498457065519836
28300,0.499257,1.837135,0.503239669788653
28500,0.503825,1.839373,0.507944464143804
28700,0.507764,2.74185,0.512572899099942
28900,0.512376,1.839124,0.517126400039522
29100,0.517,2.756673,0.521606367327736
29300,0.522774,1.841853,0.526014176455341
29500,0.527103,2.770881,0.530351178206845
29700,0.53113,2.776755,0.534618698851666
29900,0.536233,1.843952,0.538818040356043
30100,0.540506,1.844616,0.542950480613622
30300,0.544906,2.798394,0.547017273692784
30500,0.547465,1.845776,0.551019650098914
30700,0.554439,1.841071,0.554958817049927
30900,0.556343,1.848954,0.558835958763499
31100,0.56113,1.846968,0.562652236754552
31300,0.56474,2.82743,0.566408790141648
31500,0.570955,2.83869,0.570106735961038
31700,0.573174,2.842521,0.573747169487236
31900,0.573976,2.853658,0.57733116455902
32100,0.578583,1.853387,0.580859773909902
32300,0.58229,1.850522,0.584334029502134
32500,0.58598,1.855331,0.58775494286344
32700,0.588913,2.881485,0.591123505425674
32900,0.593359,2.889735,0.594440688864715
33100,0.59579,1.857559,0.597707445440945
33300,0.59984,1.859814,0.60092470833972
33500,0.605119,2.915655,0.604093392011272
33700,0.607921,2.925712,0.607214392509575
33900,0.607635,1.866307,0.610288587829701
34100,0.612036,2.943175,0.613316838243268
34300,0.616204,2.950498,0.616299986631599
34500,0.619483,2.957204,0.619238858816275
34700,0.621318,1.876785,0.622134263886761
34900,0.624588,1.876973,0.624986994524842
35100,0.628407,1.879906,0.627797827325634
35300,0.630334,1.882256,0.630567523114945
35500,0.632147,1.878022,0.633296827262804
35700,0.635911,1.884112,0.635986469992984
35900,0.638808,3.017629,0.63863716668838
36100,0.639028,1.887054,0.641249618192112
36300,0.645786,1.892804,0.643824511104246
36500,0.645851,1.893428,0.646362518074045
36700,0.650444,1.891153,0.648864298087667
36900,0.650789,1.89966,0.651330496751259
37100,0.655044,1.897159,0.653761746569389
37300,0.655548,1.904314,0.656158667218788
37500,0.659053,1.903514,0.658521865817371
37700,0.660493,3.094695,0.660851937188523
37900,0.664179,1.912201,0.663149464120649
38100,0.666739,1.909297,0.665415017621988
38300,0.668906,1.916499,0.66764915717069
38500,0.670685,1.919446,0.669852430960198
38700,0.674724,1.92181,0.672025376139937
38900,0.6741,1.925642,0.674168519051344
39100,0.677771,-3.127129,0.676282375459285
39300,0.679676,1.92971,0.678367450778884
39500,0.679652,-3.112913,0.68042424029781
39700,0.685297,-3.101038,0.682453229394084
39900,0.684056,1.938309,0.684454893749431
40100,0.687769,1.935807,0.686429699558253
40300,0.687295,-3.074599,0.688378103732269
40500,0.693727,-3.064845,0.690300554100879
40700,0.6927,1.946407,0.692197489607315
40900,0.694952,-3.049287,0.694069340500645
41100,0.698114,1.957711,0.695916528523683
41300,0.70004,1.959717,0.697739467096878
41500,0.703061,-3.017683,0.699538561498248
41700,0.700451,-3.008349,0.701314209039412
41900,0.706629,-2.999937,0.703066799237811
42100,0.70616,1.973485,0.704796713985162
42300,0.706423,1.974645,0.706504327712219
42500,0.708236,1.979592,0.708190007549921
42700,0.713703,1.981901,0.709854113486978
42900,0.710808,1.981272,0.711496998523966
43100,0.714226,1.988194,0.713119008824014
