"frequency_hz","input_real","input_imag","input_mag","input_phase_rad","output_real","output_imag","output_mag","output_phase_rad","h_real","h_imag","h_mag","h_phase_rad"
"65500","-1782418.125","1262097.5","4265.646","2.525","641865.312","-633610.312","1761.555","-0.779","-0.40750299469191","0.0669325561065124","0.41296326440717","2.97879579286262"
"65700","1494537.875","-1600695.25","4277.241","-0.82","895807.875","93179.328","1759.064","0.104","0.248060811062486","0.328027210403664","0.411261494368471","0.92332614500071"
"65900","1315171.625","1750554.25","4276.459","0.926","-250827.719","858456.75","1746.778","1.855","0.244652709726289","0.327089560812741","0.408463620374064","0.928596604049582"
"66100","740502.562","2059809.25","4275.14","1.226","-405241.844","-794777.938","1742.438","-2.042","-0.404322607392597","0.0513833586052991","0.40757455807534","3.01518521673606"
"66300","1109318.875","1888457.75","4277.683","1.04","-353637.344","817023.062","1738.815","1.979","0.239868727313943","0.328166330822909","0.406485112924178","0.93960795208112"
"66500","-2173536.75","-230044.031","4268.899","-3.036","-438797.125","-771798.188","1734.014","-2.088","0.236810986423488","0.330024893344018","0.406196840851325","0.948385440948887"
"66700","-1128338.25","1859956.125","4248.926","2.116","-884529.625","59335.293","1731.48","3.075","0.234208130769565","0.333482937718059","0.407509899594649","0.958522253377712"
"66900","-331243.469","-2162776.5","4273.429","-1.723","637378.938","-616058.812","1731.333","-0.768","0.23421640382966","0.330575809428871","0.405139099078886","0.954381481479228"
"67100","1641844.375","-1458469.5","4289.227","-0.726","860288.812","204158.562","1726.918","0.233","0.231132224589128","0.329664534758597","0.402617449598401","0.959323501294392"
"67300","-2191338.75","-60604.027","4281.595","-3.114","880473.125","-31160.527","1720.751","-0.035","-0.401096852736235","0.0253126594383647","0.401894782253708","3.07856763821254"
"67500","2069931.625","-732443.375","4288.473","-0.34","-809018.25","335529.875","1710.62","2.748","-0.398326727652319","0.0211495402635002","0.398887810061378","3.08854650440323"
"67700","2191086","180919.562","4294.029","0.082","433648.469","761547.125","1711.639","1.053","0.225079065150305","0.328981116723687","0.398609032423626","0.970773604801006"
"67900","-1515289.75","-1589213","4288.745","-2.332","623702.875","613306.5","1708.454","0.777","-0.398151034658038","0.0128294276668896","0.39835767924508","3.10938128380686"
"68100","-386362.062","2158316.25","4282.471","1.748","-796615.125","344145.094","1694.871","2.734","0.218519591651955","0.329973628740437","0.395769386890736","0.985869120228089"
"68300","-2194803.25","86737.844","4290.071","3.102","869230","-40262.316","1699.535","-0.046","-0.396146316420485","0.00268882352217461","0.3961554414437","3.13480530729637"
