freq,input_real,input_imag,input_mag,input_phase_rad,output_real,output_imag,output_mag,output_phase_rad,h_real,h_imag,h_mag,h_phase_rad,h_mag_db,h_phase_calc,h_phase_unwrap
100,-3652.358,380.287,7.172,3.038,-786.027,-9371.672,18.368,-1.654,-0.051398,2.560572,2.561087,1.590867,8.16848934832315,1.59086649025063,1.59086649025063
1100,-1515.799,2870.685,6.34,2.057,-3056.188,-1607.262,6.744,-2.657,0.001767,1.063687,1.063688,1.569135,0.536289014407178,1.56913512535631,1.56913512535631
2100,-3268.811,-159.382,6.392,-3.093,-6687.305,-5324.781,16.696,-2.469,2.120176,1.525589,2.612005,0.623732,8.33947877264557,0.623731708929606,0.623731708929606
3100,7055.216,6662.343,18.953,0.757,-8821.461,-1448.151,17.46,-2.979,-0.763415,0.515645,0.921245,2.547538,-0.712497747805679,2.54753719963708,2.54753719963708
4100,3373.928,2686.118,8.423,0.672,-6778.344,1729.662,13.663,2.892,-0.979834,1.29274,1.622113,2.219367,4.20162340152668,2.21936689374981,2.21936689374981
5100,13386.794,-2645.619,26.652,-0.195,6530.076,527.637,12.796,0.081,0.461967,0.130713,0.480104,0.275741,-6.37330205549854,0.275741009063031,0.275741009063031
6100,11049.036,-7062.485,25.612,-0.569,407.964,836.203,1.817,1.117,-0.00813,0.070484,0.070952,1.685636,-22.9807892462608,1.68563415945571,1.68563415945571
7100,2314.784,-4083.285,9.168,-1.055,262.071,-1305.87,2.601,-1.373,0.269564,-0.088632,0.283761,-0.317664,-10.9409417601341,-0.317662867485098,-0.317662867485098
8100,873.343,415.479,1.889,0.444,-1816.317,262.317,3.584,2.998,-1.579387,1.051728,1.897524,2.554115,5.56374283923891,2.55411477974728,2.55411477974728
9100,4179.395,8097.842,17.798,1.094,-5884.061,4324.868,14.263,2.508,0.125602,0.791446,0.80135,1.413409,-1.92354969113755,1.41340946358487,1.41340946358487
10100,5273.309,15782.207,32.5,1.248,-2806.159,12381.747,24.796,1.794,0.652303,0.395759,0.762971,0.545339,-2.34984204232148,0.545338998292068,0.545338998292068
11100,20988.75,8399.508,44.154,0.381,16008.315,16429.744,44.803,0.798,0.927442,0.411634,1.014688,0.417718,0.126648275803618,0.417717801088142,0.417717801088142
12100,25394.73,8972.741,52.604,0.34,17720.215,15898.261,46.498,0.731,0.816996,0.337376,0.883915,0.391617,-1.07179380054736,0.391617469822709,0.391617469822709
13100,18226.547,-11483.978,42.076,-0.562,24652.066,5810.17,49.468,0.231,0.824407,0.838208,1.175687,0.793699,1.40583316187636,0.7936987519502,0.7936987519502
14100,8418.139,-14289.521,32.392,-1.038,22020.486,-4790.874,44.015,-0.214,0.922835,0.99737,1.358812,0.824195,2.66319053584634,0.824194854359909,0.824194854359909
15100,1816.992,-7200.436,14.504,-1.324,8289.926,-10638.966,26.343,-0.909,1.662224,0.731855,1.816205,0.414747,5.18329702986248,0.414746986639185,0.414746986639185
16100,7211.906,2496.628,14.906,0.333,1675.64,1274.293,4.112,0.65,0.262101,0.085958,0.275836,0.316906,-11.1869689115789,0.316904565740097,0.316904565740097
17100,26965.758,3456.204,53.098,0.127,6870.47,24193.771,49.122,1.294,0.363803,0.850575,0.925111,1.166629,-0.676122638639705,1.16662898120532,1.16662898120532
18100,63747.516,14272.318,127.589,0.22,44550.875,47445.172,127.116,0.817,0.824184,0.559742,0.996288,0.596593,-0.032299415355779,0.596593063367739,0.596593063367739
19100,161070.125,-57645.367,334.13,-0.344,166445.938,47726.727,338.19,0.279,0.822038,0.590509,1.01215,0.622934,0.104896444401085,0.622933929673648,0.622933929673648
20100,-994481.438,1286621.75,3176.089,2.229,-1545264.125,462252,3150.239,2.851,0.806039,0.578005,0.991861,0.622106,-0.0709819241703685,0.622105959092705,0.622105959092705
21100,64671.484,118996.281,264.521,1.073,-14481.086,137595.313,270.225,1.676,0.841587,0.579075,1.021565,0.602678,0.18532628129486,0.602677712401524,0.602677712401524
