item,value
theory_transfer_function,5/(1e-8*s^2 + 3e-4*s + 1)
fitted_transfer_function,5.03170437/(9.33146664e-09*s^2 + 0.00030691994*s + 1)
theory_K,5.0
theory_a,1e-08
theory_b,0.0003
fitted_K,5.03170437
fitted_a,9.33146664e-09
fitted_b,0.00030691994
theory_fn_hz,1591.549431
theory_zeta,1.5
theory_Q,0.333333333
fitted_fn_hz,1647.574940
fitted_zeta,1.58862047
fitted_Q,0.314738485
theory_MAE_gain,0.025271426
theory_RMSE_gain,0.0315847597
theory_MAPE_percent,1.184891
theory_max_abs_rel_error_percent,2.358131
theory_max_abs_rel_error_freq_hz,2000
fit_MAE_gain,0.0122415932
fit_RMSE_gain,0.0150270851
fit_MAPE_percent,0.672590
fit_max_abs_rel_error_percent,2.258266
fit_max_abs_rel_error_freq_hz,1800
