freq_hz,measured_gain,theory_gain,theory_abs_error,theory_rel_error_percent,theory_db_error,fitted_gain,fit_abs_error,fit_rel_error_percent,fit_db_error
100,4.98,4.932275,0.047725,0.968,0.084,4.958284,0.021716,0.438,0.038
200,4.76,4.744104,0.015896,0.335,0.029,4.755575,0.004425,0.093,0.008
300,4.44,4.472178,-0.032178,-0.72,-0.063,4.465819,-0.025819,-0.578,-0.05
400,4.12,4.1578,-0.0378,-0.909,-0.079,4.135188,-0.015188,-0.367,-0.032
500,3.82,3.834133,-0.014133,-0.369,-0.032,3.79927,0.02073,0.546,0.047
600,3.48,3.522302,-0.042302,-1.201,-0.105,3.479557,0.000443,0.013,0.001
700,3.16,3.233196,-0.073196,-2.264,-0.199,3.186281,-0.026281,-0.825,-0.072
800,2.91,2.970895,-0.060895,-2.05,-0.18,2.922587,-0.012587,-0.431,-0.037
900,2.68,2.735599,-0.055599,-2.032,-0.178,2.687823,-0.007823,-0.291,-0.025
1000,2.47,2.525593,-0.055593,-2.201,-0.193,2.479608,-0.009608,-0.387,-0.034
1100,2.3,2.338388,-0.038388,-1.642,-0.144,2.294973,0.005027,0.219,0.019
1200,2.14,2.171328,-0.031328,-1.443,-0.126,2.13093,0.00907,0.426,0.037
1300,1.99,2.021885,-0.031885,-1.577,-0.138,1.984724,0.005276,0.266,0.023
1400,1.87,1.887778,-0.017778,-0.942,-0.082,1.853927,0.016073,0.867,0.075
1500,1.75,1.767009,-0.017009,-0.963,-0.084,1.736442,0.013558,0.781,0.068
1600,1.66,1.657854,0.002146,0.129,0.011,1.630483,0.029517,1.81,0.156
1700,1.56,1.558836,0.001164,0.075,0.006,1.534535,0.025465,1.659,0.143
1800,1.48,1.468696,0.011304,0.77,0.067,1.447316,0.032684,2.258,0.194
1900,1.36,1.386361,-0.026361,-1.901,-0.167,1.367739,-0.007739,-0.566,-0.049
2000,1.28,1.310913,-0.030913,-2.358,-0.207,1.294884,-0.014884,-1.149,-0.1
2100,1.22,1.241568,-0.021568,-1.737,-0.152,1.227964,-0.007964,-0.649,-0.057
2200,1.16,1.177652,-0.017652,-1.499,-0.131,1.16631,-0.00631,-0.541,-0.047
2300,1.1,1.118585,-0.018585,-1.661,-0.146,1.109345,-0.009345,-0.842,-0.073
2400,1.05,1.063864,-0.013864,-1.303,-0.114,1.056573,-0.006573,-0.622,-0.054
2500,1.0,1.013054,-0.013054,-1.289,-0.113,1.007566,-0.007566,-0.751,-0.065
2600,0.95,0.965774,-0.015774,-1.633,-0.143,0.96195,-0.01195,-1.242,-0.109
2700,0.912,0.921691,-0.009691,-1.051,-0.092,0.9194,-0.0074,-0.805,-0.07
2800,0.88,0.880513,-0.000513,-0.058,-0.005,0.879632,0.000368,0.042,0.004
2900,0.84,0.841982,-0.001982,-0.235,-0.02,0.842394,-0.002394,-0.284,-0.025
3000,0.804,0.805869,-0.001869,-0.232,-0.02,0.807465,-0.003465,-0.429,-0.037
