"freq_hz","measured_gain","theory_gain","abs_error","rel_error_percent","db_error"
"100","4.98","4.932275","0.047725","0.968","0.084"
"200","4.72","4.744104","-0.024104","-0.508","-0.044"
"300","4.4","4.472178","-0.072178","-1.614","-0.141"
"400","4.02","4.1578","-0.1378","-3.314","-0.293"
"500","3.7","3.834133","-0.134133","-3.498","-0.309"
"600","3.34","3.522302","-0.182302","-5.176","-0.462"
"700","3.05","3.233196","-0.183196","-5.666","-0.507"
"800","2.8","2.970895","-0.170895","-5.752","-0.515"
"900","2.59","2.735599","-0.145599","-5.322","-0.475"
"1000","2.38","2.525593","-0.145593","-5.765","-0.516"
"1100","2.22","2.338388","-0.118388","-5.063","-0.451"
"1200","2.08","2.171328","-0.091328","-4.206","-0.373"
"1300","1.95","2.021885","-0.071885","-3.555","-0.314"
"1400","1.83","1.887778","-0.057778","-3.061","-0.27"
"1500","1.72","1.767009","-0.047009","-2.66","-0.234"
"1600","1.64","1.657854","-0.017854","-1.077","-0.094"
"1700","1.52","1.558836","-0.038836","-2.491","-0.219"
"1800","1.44","1.468696","-0.028696","-1.954","-0.171"
"1900","1.38","1.386361","-0.006361","-0.459","-0.04"
"2000","1.31","1.310913","-0.000913","-0.07","-0.006"
"2100","1.25","1.241568","0.008432","0.679","0.059"
"2200","1.21","1.177652","0.032348","2.747","0.235"
"2300","1.16","1.118585","0.041415","3.702","0.316"
"2400","1.11","1.063864","0.046136","4.337","0.369"
"2500","1.07","1.013054","0.056946","5.621","0.475"
"2600","1.04","0.965774","0.074226","7.686","0.643"
"2700","1","0.921691","0.078309","8.496","0.708"
"2800","0.964","0.880513","0.083487","9.482","0.787"
"2900","0.932","0.841982","0.090018","10.691","0.882"
"3000","0.904","0.805869","0.098131","12.177","0.998"
